run,split,step,metric,value
Reward v2,train,5,training/epoch,0.0
Reward v2,train,5,critic/score/mean,0.1685425490140915
Reward v2,train,5,critic/score/max,1.093442678451538
Reward v2,train,5,critic/score/min,0.0
Reward v2,train,5,critic/rewards/mean,0.1685425490140915
Reward v2,train,5,critic/rewards/max,1.093442678451538
Reward v2,train,5,critic/rewards/min,0.0
Reward v2,train,5,critic/true_reward/mean,0.1685425490140915
Reward v2,train,5,critic/true_reward/max,1.093442678451538
Reward v2,train,5,critic/true_reward/min,0.0
Reward v2,train,5,critic/advantages/max,1.4999970197677612
Reward v2,train,5,critic/advantages/min,-1.4999971389770508
Reward v2,train,5,critic/advantages/mean,-0.011428020894527435
Reward v2,train,5,critic/advantages/std,0.8249186277389526
Reward v2,train,5,critic/advantages/abs_mean,0.7341946959495544
Reward v2,train,5,critic/advantages/extreme_count,0.0
Reward v2,train,5,critic/advantages/abs_max,1.4999971389770508
Reward v2,train,5,critic/returns/max,1.4999970197677612
Reward v2,train,5,critic/returns/min,-1.4999971389770508
Reward v2,train,5,critic/returns/mean,-0.011428020894527435
Reward v2,train,5,response_length/mean,405.5546875
Reward v2,train,5,response_length/max,1024.0
Reward v2,train,5,response_length/min,138.0
Reward v2,train,5,response_length/clip_ratio,0.1328125
